param_Boost__n_estimators,train acc,test acc
1,0.9598901098901099,0.7846153846153846
2,0.9598901098901099,0.7846153846153846
5,0.9598901098901099,0.7846153846153846
10,0.9598901098901099,0.7846153846153846
20,0.9598901098901099,0.7846153846153846
30,0.9598901098901099,0.7846153846153846
40,0.9598901098901099,0.7846153846153846
50,0.9598901098901099,0.7846153846153846
60,0.9598901098901099,0.7846153846153846
70,0.9598901098901099,0.7846153846153846
80,0.9598901098901099,0.7846153846153846
90,0.9598901098901099,0.7846153846153846
100,0.9598901098901099,0.7846153846153846
