param_MLP__max_iter,train acc,test acc
1,0.7924980748064931,0.7690592500314134
2,0.7869800167867376,0.7619414204268737
4,0.7819922339043224,0.7485284999802807
8,0.797195095270585,0.7582399988443538
16,0.8029134035278555,0.7484356928695707
32,0.86279534738436,0.7738969711519501
64,0.8953107625410909,0.7675921639385159
128,0.9148580927676307,0.7596537738730385
256,0.9160689175843449,0.7416110167944757
512,0.9160689175843449,0.7416110167944757
1024,0.9160689175843449,0.7416110167944757
2048,0.9160689175843449,0.7416110167944757
2100,0.9160689175843449,0.7416110167944757
2200,0.9160689175843449,0.7416110167944757
2300,0.9160689175843449,0.7416110167944757
2400,0.9160689175843449,0.7416110167944757
2500,0.9160689175843449,0.7416110167944757
2600,0.9160689175843449,0.7416110167944757
2700,0.9160689175843449,0.7416110167944757
2800,0.9160689175843449,0.7416110167944757
2900,0.9160689175843449,0.7416110167944757
3000,0.9160689175843449,0.7416110167944757
