mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.982074833,0.036283396,0.005794048,0.001595151,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.795630231,0.784594695,0.786817749,0.767228908,0.771597262,0.781175221,0.010379819,12,0.89021673,0.863528295,0.894855057,0.872948529,0.868585684,0.878026859,0.012303778
3.021042395,0.040442891,0.006201887,0.001936826,-0.003162278,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.786325009,0.778294727,0.780486467,0.75586642,0.77144182,0.774483972,0.010455828,15,0.871315129,0.877706921,0.905741476,0.879687586,0.886123975,0.884115018,0.011800361
3.08388834,0.035331464,0.006810474,0.001823094,-0.000316228,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.792609057,0.781626808,0.779268103,0.767924603,0.778567665,0.779999902,0.007874582,14,0.897356775,0.903973599,0.894491131,0.881936914,0.88819096,0.893189876,0.007575794
3.111341906,0.04334649,0.006566381,0.001348408,-0.000316228,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.778627606,0.7847139,0.785165984,0.774444339,0.78033536,0.780657739,0.003990248,13,0.891135286,0.905201745,0.904426674,0.878207969,0.893048246,0.894403984,0.00991846
3.060492849,0.111211843,0.006207561,0.001476271,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.800318564,0.788249787,0.787476929,0.74648178,0.792564719,0.783019121,0.018828164,11,0.914318403,0.914086559,0.914151901,0.925210201,0.917079144,0.916969242,0.004270824
0.142432261,0.005678967,0.00600152,0.000632636,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.76285545,0.752897101,0.754781223,0.743556335,0.760948541,0.755007711,0.006819191,22,0.937862616,0.937663793,0.937322185,0.938065814,0.94044278,0.938271438,0.001113055
3.066690111,0.088224077,0.006405115,0.001853422,-0.1,balanced,entropy,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.76285545,0.752897101,0.754781223,0.743556335,0.760948541,0.755007711,0.006819191,22,0.937862616,0.937663793,0.937322185,0.938065814,0.94044278,0.938271438,0.001113055
3.09790411,0.060204246,0.006201458,0.001474655,-0.031622777,balanced,entropy,"{'DT__alpha': -0.0316227766016838, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.76285545,0.752897101,0.754781223,0.743556335,0.760948541,0.755007711,0.006819191,22,0.937862616,0.937663793,0.937322185,0.938065814,0.94044278,0.938271438,0.001113055
0.141631651,0.008869969,0.006201887,0.000400234,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.757359655,0.763147674,0.756703239,0.74146267,0.756768723,0.755088842,0.00722765,19,0.939174013,0.940340922,0.93856374,0.936840809,0.938840281,0.938751953,0.001131252
3.145959663,0.092743195,0.006363535,0.001411285,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.757359655,0.763147674,0.756703239,0.74146267,0.756768723,0.755088842,0.00722765,19,0.939174013,0.940340922,0.93856374,0.936840809,0.938840281,0.938751953,0.001131252
3.173924828,0.069368474,0.005393839,0.000495967,-0.031622777,balanced,gini,"{'DT__alpha': -0.0316227766016838, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.757359655,0.763147674,0.756703239,0.74146267,0.756768723,0.755088842,0.00722765,19,0.939174013,0.940340922,0.93856374,0.936840809,0.938840281,0.938751953,0.001131252
