mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4337130069732666,0.018216867538690798,0.026606225967407228,0.0007959157332864181,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7637362637362637,0.8461538461538461,0.8241758241758241,0.7664835164835165,0.8186813186813187,0.8038461538461539,0.032948712858384493,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.44831056594848634,0.013012666591563443,0.02660198211669922,0.00048716640420045347,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.771978021978022,0.8076923076923077,0.8131868131868132,0.7857142857142857,0.7664835164835165,0.789010989010989,0.018665151375234085,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4273120880126953,0.004533432079770742,0.02640566825866699,0.0004902909270398817,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.8159340659340659,0.8406593406593407,0.8434065934065934,0.7994505494505495,0.8598901098901099,0.8318681318681319,0.021449693731805646,11,0.885989010989011,0.8962912087912088,0.8743131868131868,0.8942307692307693,0.904532967032967,0.8910714285714286,0.010248026073403575
0.4225150108337402,0.009689456569288584,0.02600274085998535,6.724249333467723e-06,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.8351648351648352,0.8214285714285714,0.8021978021978022,0.8324175824175825,0.8159340659340659,0.8214285714285714,0.01191180405971363,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.419707727432251,0.00924761547236796,0.026598739624023437,0.0004840309473148293,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.8324175824175825,0.8434065934065934,0.8653846153846154,0.8269230769230769,0.8241758241758241,0.8384615384615385,0.014987012853830636,6,0.8942307692307693,0.8873626373626373,0.9010989010989011,0.8894230769230769,0.8990384615384616,0.8942307692307692,0.005302268974071125
0.42591261863708496,0.019717210047765783,0.027002477645874025,0.000627461854136724,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.8571428571428571,0.8104395604395604,0.8598901098901099,0.7967032967032966,0.8543956043956044,0.8357142857142857,0.026658262572985078,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.43690829277038573,0.013900615975413961,0.02800607681274414,0.001991436312551432,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.8571428571428571,0.8461538461538461,0.8626373626373627,0.7939560439560439,0.8461538461538461,0.8412087912087912,0.02447368950694517,5,0.8791208791208791,0.875,0.875,0.8839285714285714,0.8887362637362637,0.8803571428571428,0.0053271207224355075
0.4297167301177979,0.019401488078675217,0.029799842834472658,0.004617906036693728,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.8626373626373627,0.8269230769230769,0.8516483516483516,0.8406593406593407,0.8351648351648352,0.8434065934065934,0.012529400275814721,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4145094871520996,0.006116805429790412,0.032803821563720706,0.011102262689567979,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.8763736263736264,0.8681318681318682,0.8598901098901099,0.8214285714285714,0.8186813186813187,0.8489010989010989,0.024138332567570125,1,0.8791208791208791,0.8743131868131868,0.8722527472527473,0.8791208791208791,0.8887362637362637,0.8787087912087912,0.005690196477254919
0.41831073760986326,0.005413822391254769,0.02740588188171387,0.0004899598350408929,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.8791208791208791,0.8379120879120879,0.8626373626373627,0.8131868131868132,0.8351648351648352,0.8456043956043956,0.022945728591012196,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.41871066093444825,0.006772183776837661,0.02759976387023926,0.0004909740872973465,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.8598901098901099,0.8516483516483516,0.8461538461538461,0.8324175824175825,0.8296703296703297,0.843956043956044,0.011446520140659142,3,0.8701923076923077,0.8708791208791209,0.8688186813186813,0.8743131868131868,0.875,0.8718406593406594,0.002402864791831846
0.41671042442321776,0.0053483585411123165,0.027606487274169922,0.0004892984287695786,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.8736263736263736,0.8076923076923077,0.8543956043956044,0.8186813186813187,0.8351648351648352,0.8379120879120879,0.023823608119427245,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.42011494636535646,0.012979739442835885,0.03324203491210938,0.0064199119898422155,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.8489010989010989,0.8461538461538461,0.8214285714285714,0.7939560439560439,0.8351648351648352,0.8291208791208792,0.020068112492032626,15,0.8482142857142857,0.8557692307692307,0.864010989010989,0.8701923076923077,0.8681318681318682,0.8612637362637361,0.008184323686684765
0.42571210861206055,0.009689719069635885,0.028403329849243163,0.00048539529316686243,manhattan,19,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'distance'}",0.8351648351648352,0.8434065934065934,0.8406593406593407,0.8131868131868132,0.8406593406593407,0.8346153846153846,0.011043819363869114,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4175106525421143,0.008939373977216182,0.028002834320068358,0.0006274455653706328,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.8351648351648352,0.8159340659340659,0.8489010989010989,0.7802197802197802,0.8516483516483516,0.8263736263736263,0.026316329702918778,17,0.8550824175824175,0.8516483516483516,0.8701923076923077,0.8681318681318682,0.8653846153846154,0.862087912087912,0.0073639698646594835
0.42630972862243655,0.008475455623415399,0.02880229949951172,0.0009831670574406157,manhattan,22,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'distance'}",0.8324175824175825,0.8461538461538461,0.8406593406593407,0.7884615384615384,0.8489010989010989,0.8313186813186814,0.02215587379522633,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.41910343170166015,0.0127379026678117,0.028606939315795898,0.0004975968679138213,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.8543956043956044,0.8269230769230769,0.8351648351648352,0.7912087912087912,0.804945054945055,0.8225274725274725,0.022291717335275595,18,0.8571428571428571,0.8434065934065934,0.8523351648351648,0.8550824175824175,0.8550824175824175,0.8526098901098902,0.004848725987561189
0.4267091751098633,0.014849303798827065,0.029002809524536134,1.2977156331561406e-05,manhattan,25,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'distance'}",0.8708791208791209,0.8379120879120879,0.8379120879120879,0.771978021978022,0.8406593406593407,0.8318681318681319,0.03243154849093122,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.41870746612548826,0.0059560169671078675,0.0302032470703125,0.001939364943982149,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.8186813186813187,0.8076923076923077,0.8214285714285714,0.7884615384615384,0.8269230769230769,0.8126373626373626,0.01361484801468556,25,0.8358516483516484,0.8331043956043956,0.8509615384615384,0.8626373626373627,0.8537087912087912,0.8472527472527472,0.011156011266069745
0.41809883117675783,0.0050223750551139975,0.029006338119506835,1.4193416658532347e-06,manhattan,28,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'distance'}",0.8241758241758241,0.8379120879120879,0.8736263736263736,0.782967032967033,0.8516483516483516,0.8340659340659341,0.03032449390449809,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
