param_Boost__n_estimators,train acc,test acc
1,0.9258241758241759,0.8205128205128205
2,0.9258241758241759,0.8205128205128205
5,0.9736263736263736,0.8064102564102564
10,0.9736263736263736,0.8064102564102564
20,0.9736263736263736,0.8064102564102564
30,0.9736263736263736,0.8064102564102564
40,0.9736263736263736,0.8064102564102564
50,0.9736263736263736,0.8064102564102564
60,0.9736263736263736,0.8064102564102564
70,0.9736263736263736,0.8064102564102564
80,0.9736263736263736,0.8064102564102564
90,0.9736263736263736,0.8064102564102564
100,0.9736263736263736,0.8064102564102564
