mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.40390214920043943,0.02253421847256173,5.395624017715454,0.07379944051910593,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7337494454207144,0.731252851840098,0.7229962649118016,0.7131252829632437,0.7197939993993078,0.7241844392749235,0.007542501040568316,80,0.9702270913061161,0.9736015442655015,0.9712660230165004,0.9716717370562185,0.9724068650690735,0.971834652142682,0.0011299086386616468
0.40389385223388674,0.01656613558379903,5.367219877243042,0.06459117232586473,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.7337494454207144,0.731252851840098,0.7229962649118016,0.7131252829632437,0.7197939993993078,0.7241844392749235,0.007542501040568316,80,0.9702270913061161,0.9736015442655015,0.9712660230165004,0.9716717370562185,0.9724068650690735,0.971834652142682,0.0011299086386616468
0.3990910530090332,0.010978463762219696,5.884726619720459,0.07265503350700309,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7725061826051305,0.7730653669380748,0.7635525230660247,0.7693109910820515,0.7663406768854628,0.7689553619228028,0.003623804653782238,1,0.8573929772747458,0.8565996929066828,0.858429506887948,0.8584966478276337,0.8575064883226639,0.8576850626439348,0.000708251065724288
0.404464864730835,0.011461394749277307,5.8547228336334225,0.07166699030776734,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.7504477421847081,0.7462521492414302,0.7406931991080418,0.7376817545300443,0.7248627365226236,0.7399889446835234,0.008754248558628807,56,0.9810904030590741,0.9817743179681048,0.9827929387951233,0.9813635154673107,0.9823706460571958,0.9818783642693617,0.0006285802593943996
0.41188812255859375,0.024616083449151147,6.081781244277954,0.10039349179995138,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.748488360282071,0.7399713908137987,0.7402790079833103,0.7427882539983365,0.7482184728713623,0.743948773483731,0.003727535072187989,29,0.7898297574497178,0.7921855895820848,0.7969288759754778,0.7940286466905696,0.7908031578959833,0.7927552055187667,0.002519300543440723
0.39809727668762207,0.007833982708279308,6.112985992431641,0.1478751279692873,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.7477187910671552,0.7434226765167317,0.7462175455991799,0.7395737915495331,0.7397811161285904,0.743343262073638,0.0032957342889326506,34,0.9798220299359881,0.9811664475328835,0.9819463229337991,0.9808278289112411,0.9816020985796086,0.9810729455787041,0.0007316290923759255
0.3894432544708252,0.0055986051094865765,6.256010723114014,0.13083782353431345,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.7668664467822297,0.7636475186162333,0.7570805893829184,0.7607091716941997,0.767217476986632,0.7631039848393543,0.00383118172255536,3,0.799807534431184,0.7983358385890728,0.8005017569695616,0.7986600737262243,0.7992713581410685,0.7993153123714222,0.0007798168871481397
0.4024874210357666,0.0182326406366863,6.190603637695313,0.03273417030905862,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.7510635028148681,0.7426563966214215,0.745463896691155,0.7405635048485424,0.7405813806440056,0.7440661957370749,0.003932387179659358,27,0.9802107665878549,0.9811664475328835,0.9819463229337991,0.9811388286703413,0.9816020985796086,0.9812128928608974,0.0005833181813132926
0.4006829261779785,0.010938294362700662,6.303069114685059,0.1816051330803473,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.7594865293152058,0.7510920541090443,0.7436143780633433,0.753130757972983,0.7455614629493996,0.7505773645543704,0.005653476003825713,9,0.7717520594116948,0.7746373154082921,0.7755654791784079,0.7780777924834366,0.7748980006992282,0.7749861294362119,0.00202398978975652
0.4040840148925781,0.008600963059704612,6.259475326538086,0.0821299149226593,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.7531080123088971,0.7459791357141692,0.744110407459861,0.7487602261600177,0.7395252949452265,0.7462971014105573,0.00454285633643069,15,0.9802107665878549,0.9807360854983387,0.9819463229337991,0.9811388286703413,0.9812495978516296,0.9810563203083926,0.0005751138912645276
0.4017031192779541,0.013659175061670394,6.307426118850708,0.09839718152879715,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.7687132023815726,0.757608459393218,0.750441689836634,0.7591245775292966,0.7580567865065524,0.7587889926502887,0.0058349284285148005,5,0.7796375603892991,0.7793062601844397,0.7832586643069517,0.7845108596808867,0.7796121582429658,0.7812651005609086,0.0021784127070687094
