mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__gamma_frac,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.719253158569336,0.053771897692785744,0.0187894344329834,0.006370246725707018,0.1,0.05,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 687}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,168,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3.7076501846313477,0.043240823233419816,0.018398046493530273,0.00634866478864616,0.1,0.15000000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.15000000000000002, 'SVM__n_iter': 687}",0.5494505494505495,0.5192307692307693,0.5,0.5027472527472527,0.5,0.5142857142857142,0.018985881915572544,167,0.5693681318681318,0.5288461538461539,0.5,0.5089285714285714,0.5,0.5214285714285714,0.026183350935274383
3.616427421569824,0.04325597575692183,0.015594768524169921,0.0012016667576006772,0.1,0.25000000000000006,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.25000000000000006, 'SVM__n_iter': 687}",0.6675824175824175,0.6675824175824175,0.6098901098901099,0.5934065934065934,0.6263736263736264,0.6329670329670329,0.03012472563048964,158,0.6675824175824175,0.654532967032967,0.6380494505494505,0.6552197802197802,0.635989010989011,0.6502747252747253,0.011795604088477206
3.5320104122161866,0.03166463762869018,0.015793561935424805,0.0014738499780665255,0.1,0.35000000000000003,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.35000000000000003, 'SVM__n_iter': 687}",0.6703296703296703,0.6703296703296703,0.6263736263736264,0.6098901098901099,0.6456043956043956,0.6445054945054945,0.023924770392392533,154,0.6778846153846154,0.665521978021978,0.6524725274725275,0.6634615384615384,0.646978021978022,0.6612637362637362,0.010775746515085265
3.499404525756836,0.05623290885907489,0.017792510986328124,0.006109496735142506,0.1,0.45000000000000007,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.45000000000000007, 'SVM__n_iter': 687}",0.6593406593406593,0.6620879120879121,0.6208791208791209,0.6153846153846154,0.6428571428571429,0.6401098901098901,0.019191482633596664,155,0.6703296703296703,0.6627747252747253,0.6524725274725275,0.6531593406593407,0.6414835164835165,0.656043956043956,0.009823109438890691
3.4803983688354494,0.044561990522491615,0.01499333381652832,0.0006385529085254602,0.1,0.5500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.5500000000000002, 'SVM__n_iter': 687}",0.6456043956043956,0.6593406593406593,0.6208791208791209,0.6126373626373627,0.6291208791208791,0.6335164835164835,0.01689951263651614,157,0.6565934065934066,0.654532967032967,0.6497252747252747,0.6538461538461539,0.6387362637362637,0.6506868131868131,0.006378124596837326
3.487000274658203,0.02987168566503936,0.014992618560791015,0.0006384048347544261,0.1,0.6500000000000001,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.6500000000000001, 'SVM__n_iter': 687}",0.6456043956043956,0.6401098901098901,0.6126373626373627,0.6071428571428571,0.6236263736263736,0.6258241758241758,0.014987012853830613,160,0.6497252747252747,0.6442307692307693,0.6462912087912088,0.6462912087912088,0.635989010989011,0.6445054945054945,0.004609330147132585
3.4982041835784914,0.02904289122014815,0.014791631698608398,0.00040331349693812144,0.1,0.7500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.7500000000000002, 'SVM__n_iter': 687}",0.6456043956043956,0.6346153846153846,0.6098901098901099,0.6043956043956044,0.6291208791208791,0.6247252747252747,0.015404226119644164,161,0.6428571428571429,0.635989010989011,0.6414835164835165,0.6449175824175825,0.6291208791208791,0.6388736263736263,0.005703444915391978
3.4907979488372805,0.028242249265886456,0.017397117614746094,0.005310590592935576,0.1,0.8500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.8500000000000002, 'SVM__n_iter': 687}",0.6373626373626373,0.6263736263736264,0.6098901098901099,0.6043956043956044,0.6208791208791209,0.6197802197802198,0.01173305302421022,163,0.6394230769230769,0.6298076923076923,0.6387362637362637,0.6421703296703297,0.6298076923076923,0.635989010989011,0.005176220791598023
3.898490285873413,0.84309280356248,0.014795780181884766,0.0003962048240071717,0.1,0.9500000000000002,687,"{'SVM__alpha': 0.1, 'SVM__gamma_frac': 0.9500000000000002, 'SVM__n_iter': 687}",0.6401098901098901,0.6318681318681318,0.6098901098901099,0.6098901098901099,0.6208791208791209,0.6225274725274725,0.011987595730368875,162,0.6353021978021978,0.6339285714285714,0.635989010989011,0.6435439560439561,0.6270604395604396,0.6351648351648352,0.005255803975194794
3.697653341293335,0.04768053978532799,0.014787244796752929,0.0004021547290094394,0.03162277660168379,0.05,687,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.05, 'SVM__n_iter': 687}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,168,0.5,0.5,0.5,0.5,0.5,0.5,0.0
3.6812412261962892,0.06337769198871304,0.016596508026123048,0.0032553236579738356,0.03162277660168379,0.15000000000000002,687,"{'SVM__alpha': 0.03162277660168379, 'SVM__gamma_frac': 0.15000000000000002, 'SVM__n_iter': 687}",0.6675824175824175,0.7362637362637363,0.5576923076923077,0.5851648351648352,0.6181318681318682,0.6329670329670329,0.06330853064102891,158,0.7239010989010989,0.742445054945055,0.6236263736263736,0.695054945054945,0.7156593406593407,0.7001373626373627,0.041171228301451736
