,train,test
0.1,0.8258592449710704,0.0050762740429490805
0.2,0.7256356629659422,0.00635662698186934
0.3,0.6402349779964425,0.009619752003345639
0.4,0.5611765570356511,0.012153783987741917
0.5,0.4566235730308108,0.014788016967941076
0.6,0.34911626897519454,0.015282170032151043
0.7,0.2691649519838393,0.020408714015502483
0.8,0.21672379900701344,0.022014627989847213
0.9,0.164262812002562,0.05864902096800506
