mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0512117862701416,0.001166555667291445,0.004801034927368164,0.0004000664325664057,1,{'SVM__n_iter': 1},0.7738394096276542,0.7762453495599416,0.7578584476832402,0.7609347526243196,0.7924792260552954,0.7722701612723663,0.012351137395109438,25,0.7673702721915034,0.7732523418555465,0.7607390032237791,0.7677240620089167,0.7892185781823142,0.771660851492412,0.009633283551012485
0.059413576126098634,0.0013568598329062199,0.004801034927368164,0.0004001856809007463,4,{'SVM__n_iter': 4},0.7903053488547116,0.8047262522966029,0.7918593550091599,0.7977041810122452,0.7930662184307176,0.7955323922243857,0.005218297492834042,24,0.7869135538859993,0.797396947645239,0.8036250344725625,0.8049816324404336,0.791114440471975,0.7968063217832417,0.006984894494839826
0.0748176097869873,0.0059136939370346975,0.004801177978515625,0.00040001967251855624,7,{'SVM__n_iter': 7},0.8133536113308375,0.8121506413646938,0.8046004687148864,0.803099697821578,0.8006170269942724,0.806764989452165,0.005066152402961679,21,0.8059452300124867,0.8058704935299512,0.8081161664727057,0.8126713169992545,0.8036194619810739,0.8072445337990943,0.0030635613947226016
0.0818183422088623,0.0038684454361702417,0.004801177978515625,0.0004002573094198202,10,{'SVM__n_iter': 10},0.8024532008763798,0.8081720119425984,0.8006317072516077,0.8011639660128242,0.8190137579631259,0.8062860367991497,0.006905128911556302,22,0.7980450120764614,0.8094435555039599,0.8052414895753426,0.8144424395693692,0.8067524033834016,0.8067849800217071,0.005375410198268069
0.08929686546325684,0.002866655084680999,0.004498100280761719,0.0004473738618201068,13,{'SVM__n_iter': 13},0.8081121463257772,0.804268642153078,0.8014858777667783,0.7973764700927594,0.8130447726590123,0.8048571916068691,0.005390398732794881,23,0.8043916818862559,0.8002838735929594,0.8122961857559521,0.8101809499058588,0.810561718869966,0.8075428820021985,0.004500887470934672
0.1000485897064209,0.003233789310535295,0.004651689529418945,0.0004353126463925585,16,{'SVM__n_iter': 16},0.8154046994640777,0.8081467499680278,0.8029365992856123,0.7976754898554388,0.8192816983786575,0.8086886011046291,0.007898767724819006,20,0.8137001375217091,0.8072332147783207,0.8108970381845596,0.8150845264080238,0.8085549820541494,0.8110939797893524,0.0029700950290245964
0.11290197372436524,0.0055874975496247115,0.004999828338623047,2.1346120153045074e-06,19,{'SVM__n_iter': 19},0.8109449083700815,0.8140352899258929,0.8090074991224094,0.8006227823578341,0.8153459777322283,0.8099912326712524,0.005189579479379609,18,0.8108051826464208,0.8096674934816791,0.814672328771685,0.8160180274570474,0.8088769392433255,0.8120079943200317,0.0028251460075579427
0.12422809600830079,0.0048344998933520416,0.005001354217529297,1.784161275279017e-07,22,{'SVM__n_iter': 22},0.8128982379246446,0.8181808852111664,0.8023587316173084,0.8044052770670795,0.8168359846349214,0.8109355920793504,0.006440048102885964,16,0.8120515420295766,0.808080924745553,0.810449466604449,0.8168739595331471,0.8148950197024739,0.8124701825230399,0.003124011005907529
0.1280287265777588,0.00596748373733926,0.005201482772827148,0.00040011407365504563,25,{'SVM__n_iter': 25},0.818183648239635,0.8242012610988222,0.8090135514704837,0.7991239984417281,0.8185247732913201,0.8138096770627371,0.008809253757187161,6,0.8183938025102968,0.8141827369436065,0.8169045927472921,0.8137518453888979,0.8127444963404991,0.8151954947861185,0.0021103262093581754
0.1406317710876465,0.0034414567657158387,0.004401206970214844,0.000489201367958171,28,{'SVM__n_iter': 28},0.8260101237363091,0.8159227015155605,0.8043340338268365,0.8070064331364436,0.8179248712990236,0.8142396266797727,0.007815638045052677,3,0.8173707723542044,0.8133199151526628,0.8169000929282556,0.8204552852874132,0.8119713023633361,0.8160034736171744,0.0030315656095586444
