mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.598931884765625,0.027243955368314456,0.0064013957977294925,0.0004900961122578451,relu,10.0,"(31,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (31,)}",0.6510989010989011,0.6868131868131868,0.6895604395604396,0.6153846153846154,0.6510989010989011,0.6587912087912088,0.027329296957023914,94,0.7012362637362637,0.7019230769230769,0.6710164835164835,0.7149725274725275,0.6627747252747253,0.6903846153846154,0.01996442010881777
0.557728385925293,0.0558536769928629,0.006001329421997071,2.4314019744838644e-07,relu,10.0,"(15,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15,)}",0.6483516483516484,0.5384615384615384,0.6648351648351648,0.6263736263736264,0.6153846153846154,0.6186813186813187,0.04362512800281145,115,0.7032967032967034,0.5199175824175825,0.7163461538461539,0.6730769230769231,0.6531593406593407,0.6531593406593408,0.07022307985506186
0.6339433670043946,0.018577287878684824,0.006001329421997071,2.431401974483864e-07,relu,10.0,"(62,)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (62,)}",0.6510989010989011,0.6813186813186813,0.6730769230769231,0.6373626373626373,0.6785714285714286,0.6642857142857143,0.017147787400359625,91,0.7115384615384616,0.7067307692307693,0.7252747252747253,0.7053571428571429,0.7190934065934066,0.7135989010989011,0.007561186233254306
0.6279420852661133,0.11237040325368695,0.006001758575439453,3.1629798797182086e-07,relu,10.0,"(31, 31)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (31, 31)}",0.6291208791208791,0.6346153846153846,0.6346153846153846,0.5934065934065934,0.6868131868131868,0.6357142857142857,0.029822564274971233,112,0.6490384615384616,0.6607142857142857,0.603021978021978,0.6703296703296703,0.6978021978021978,0.6561813186813186,0.031080402606083805
0.5997377395629883,0.045902014011276124,0.005999088287353516,3.8236275094469935e-06,relu,10.0,"(15, 15)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15, 15)}",0.6675824175824175,0.6483516483516484,0.6208791208791209,0.6043956043956044,0.5906593406593407,0.6263736263736264,0.028177761329578204,114,0.6881868131868132,0.6586538461538461,0.6243131868131868,0.6833791208791209,0.6016483516483516,0.6512362637362638,0.03357779026430914
0.642147159576416,0.04197527984058408,0.006001424789428711,0.0006327113674591579,relu,10.0,"(62, 62)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (62, 62)}",0.6346153846153846,0.6346153846153846,0.6318681318681318,0.6208791208791209,0.6648351648351648,0.6373626373626373,0.014640563290631008,111,0.6559065934065934,0.6641483516483516,0.6627747252747253,0.6929945054945055,0.6675824175824175,0.6686813186813186,0.012735524160988195
0.6343471527099609,0.052820774567958216,0.006197786331176758,0.00039358147703650014,relu,10.0,"(31, 31, 31)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (31, 31, 31)}",0.5714285714285714,0.6153846153846154,0.6318681318681318,0.5439560439560439,0.6373626373626373,0.6,0.036346891007782926,164,0.6291208791208791,0.614010989010989,0.6387362637362637,0.6050824175824175,0.6428571428571429,0.6259615384615385,0.014404095306503667
0.6077373504638672,0.029220427376779393,0.005801343917846679,0.0003998996071032651,relu,10.0,"(15, 15, 15)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (15, 15, 15)}",0.5082417582417582,0.6126373626373627,0.6346153846153846,0.5741758241758241,0.6291208791208791,0.5917582417582418,0.04680338338252057,176,0.5240384615384616,0.6311813186813187,0.6263736263736264,0.6243131868131868,0.6304945054945055,0.6072802197802197,0.041699007293630394
0.7997828483581543,0.10620849690740262,0.006801509857177734,0.00039978030187482947,relu,10.0,"(62, 62, 62)","{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (62, 62, 62)}",0.6181318681318682,0.6703296703296703,0.6428571428571429,0.5851648351648352,0.6456043956043956,0.6324175824175824,0.028834377501982235,113,0.6737637362637363,0.6620879120879121,0.6298076923076923,0.6462912087912088,0.6531593406593407,0.653021978021978,0.01480970546367425
0.6451479434967041,0.04262868999026799,0.005801200866699219,0.0007487105676996254,relu,3.1622776601683795,"(31,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (31,)}",0.6895604395604396,0.717032967032967,0.7335164835164835,0.6538461538461539,0.7197802197802198,0.7027472527472527,0.028306037082178576,52,0.757554945054945,0.7513736263736264,0.7836538461538461,0.7293956043956044,0.760989010989011,0.7565934065934066,0.017432612158557653
0.5485240459442139,0.02917213408608691,0.006001472473144531,0.0006327114141764736,relu,3.1622776601683795,"(15,)","{'MLP__activation': 'relu', 'MLP__alpha': 3.1622776601683795, 'MLP__hidden_layer_sizes': (15,)}",0.6483516483516484,0.6675824175824175,0.6236263736263736,0.6016483516483516,0.6868131868131868,0.6456043956043956,0.030344398398866105,109,0.7293956043956044,0.665521978021978,0.654532967032967,0.6648351648351648,0.7355769230769231,0.6899725274725274,0.034984621494223316
