mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4451128482818604,0.006224137013720176,0.0058079719543457035,0.00039551722518477075,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7252747252747253,0.7774725274725275,0.7857142857142857,0.760989010989011,0.760989010989011,0.762087912087912,0.02074857976758155,17,0.9553571428571429,0.9491758241758241,0.9553571428571429,0.9443681318681318,0.9532967032967034,0.9515109890109891,0.004224878159129073
0.4597161769866943,0.011569436115813011,0.005996608734130859,0.0006226647737300126,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7252747252747253,0.7912087912087912,0.7912087912087912,0.739010989010989,0.7472527472527473,0.7587912087912088,0.027384474273356274,20,0.9361263736263736,0.948489010989011,0.9532967032967034,0.9526098901098901,0.9587912087912088,0.9498626373626374,0.007610931416041256
0.48631834983825684,0.019632972842966907,0.0060079097747802734,8.08797913109436e-06,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7362637362637363,0.7884615384615384,0.7939560439560439,0.7664835164835165,0.782967032967033,0.7736263736263737,0.020821203649996026,5,0.9182692307692307,0.9114010989010989,0.926510989010989,0.9120879120879121,0.9100274725274725,0.9156593406593405,0.0061184223767363054
0.4781194686889648,0.009799680970208767,0.00639796257019043,0.00048603667929119753,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7307692307692307,0.7967032967032966,0.7939560439560439,0.7637362637362637,0.782967032967033,0.7736263736263737,0.024362416788346553,5,0.8846153846153846,0.9203296703296703,0.9258241758241759,0.926510989010989,0.9306318681318682,0.9175824175824175,0.01680658672437671
0.487319278717041,0.017427941434019305,0.005597877502441406,0.000493758220894824,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7362637362637363,0.7884615384615384,0.7939560439560439,0.7664835164835165,0.782967032967033,0.7736263736263737,0.020821203649996026,5,0.9182692307692307,0.9114010989010989,0.926510989010989,0.9120879120879121,0.9100274725274725,0.9156593406593405,0.0061184223767363054
0.4857151031494141,0.00773983775765516,0.006004619598388672,0.000638250257248233,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7307692307692307,0.7967032967032966,0.7939560439560439,0.7637362637362637,0.782967032967033,0.7736263736263737,0.024362416788346553,5,0.8846153846153846,0.9203296703296703,0.9258241758241759,0.926510989010989,0.9306318681318682,0.9175824175824175,0.01680658672437671
0.47432260513305663,0.006117417123359177,0.0060005664825439455,1.0482177966490907e-05,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7252747252747253,0.7967032967032966,0.7857142857142857,0.7747252747252747,0.7582417582417582,0.7681318681318682,0.024913811096164026,15,0.9560439560439561,0.9162087912087912,0.9553571428571429,0.9148351648351648,0.9368131868131868,0.9358516483516484,0.01798139359555341
0.4827247142791748,0.014511942563245155,0.005997848510742187,6.910684972569396e-06,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7472527472527473,0.7912087912087912,0.7967032967032966,0.7527472527472527,0.7472527472527473,0.7670329670329671,0.022142243603966882,16,0.904532967032967,0.9457417582417582,0.9539835164835165,0.9375,0.9581043956043956,0.9399725274725276,0.01908104983976412
0.4885256767272949,0.015228124812793238,0.005991554260253907,1.3782656162213532e-05,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7362637362637363,0.7884615384615384,0.7939560439560439,0.7664835164835165,0.782967032967033,0.7736263736263737,0.020821203649996026,5,0.9182692307692307,0.9114010989010989,0.926510989010989,0.9120879120879121,0.9100274725274725,0.9156593406593405,0.0061184223767363054
0.49411845207214355,0.015891444416942985,0.007197809219360351,0.002402460988423087,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",0.7307692307692307,0.7967032967032966,0.7939560439560439,0.7637362637362637,0.782967032967033,0.7736263736263737,0.024362416788346553,5,0.8846153846153846,0.9203296703296703,0.9258241758241759,0.926510989010989,0.9306318681318682,0.9175824175824175,0.01680658672437671
0.4823190212249756,0.013526258754693711,0.006002616882324219,8.923864414436024e-06,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",0.7252747252747253,0.7774725274725275,0.7857142857142857,0.760989010989011,0.760989010989011,0.762087912087912,0.02074857976758155,17,0.9553571428571429,0.9491758241758241,0.9553571428571429,0.9443681318681318,0.9532967032967034,0.9515109890109891,0.004224878159129073
