param_MLP__max_iter,train acc,test acc
1,0.6252747252747253,0.5961538461538461
2,0.6329670329670329,0.6487179487179487
4,0.7021978021978021,0.6730769230769231
8,0.7752747252747253,0.7410256410256411
16,0.843956043956044,0.7730769230769231
32,0.9192307692307692,0.8064102564102564
64,0.9901098901098901,0.8179487179487179
128,1.0,0.8102564102564103
256,1.0,0.8115384615384615
512,1.0,0.8115384615384615
1024,1.0,0.8115384615384615
2048,1.0,0.8115384615384615
2100,1.0,0.8115384615384615
2200,1.0,0.8115384615384615
2300,1.0,0.8115384615384615
2400,1.0,0.8115384615384615
2500,1.0,0.8115384615384615
2600,1.0,0.8115384615384615
2700,1.0,0.8115384615384615
2800,1.0,0.8115384615384615
2900,1.0,0.8115384615384615
3000,1.0,0.8115384615384615
