,0,1,2,3,4
50,0.922619048,0.919047619,0.919047619,0.919047619,0.919047619
100,0.839393939,0.822420635,0.822420635,0.822420635,0.822420635
2279,0.840873797,0.80836257,0.80836257,0.80836257,0.80836257
4558,0.832899634,0.823755751,0.81994459,0.81994459,0.81994459
6837,0.828263964,0.812582085,0.822988403,0.822988403,0.822988403
9116,0.833163204,0.817006441,0.829610985,0.828379779,0.828379779
11396,0.831608025,0.815928055,0.82129114,0.811382913,0.811382913
13675,0.817491658,0.822471931,0.819119776,0.814259588,0.815239431
15954,0.815625652,0.81662301,0.8179449,0.818783059,0.810680953
