mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.14663286209106446,0.013368646741482325,0.0056015968322753905,0.0004903299456281762,-1,1,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 1}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.23345232009887695,0.008262663973667305,0.0072021961212158205,0.0003999234525071541,-1,2,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 2}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.4989126205444336,0.04369234855262741,0.009404611587524415,0.0012014925061041625,-1,5,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 5}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5681286811828613,0.07556000792765749,0.009002065658569336,0.0006326359180865345,-1,10,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 10}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5803311347961426,0.05965355733506056,0.009002065658569336,0.0006325605100375587,-1,20,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 20}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5861325263977051,0.09536672463441086,0.009602165222167969,0.0010201975808309318,-1,30,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 30}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5685285568237305,0.07603433825745533,0.009002256393432616,0.00109549633270681,-1,45,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 45}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5791305065155029,0.06594262503526452,0.00940237045288086,0.0008001447376631067,-1,60,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 60}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5767302989959717,0.0761870845264881,0.00960230827331543,0.0008001327656733407,-1,80,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 80}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
0.5657299995422364,0.07212469472693755,0.008999967575073242,0.0010955020528557033,-1,100,"{'Boost__base_estimator__alpha': -1, 'Boost__n_estimators': 100}",0.7606791050313957,0.753208007624906,0.7552712004542945,0.7467876433241734,0.767207333716231,0.7566301617886827,0.006908902569997059,107,0.9363461933390108,0.9380415227835135,0.9388110905550823,0.9378686839710569,0.9400509529386732,0.9382236887174674,0.0012139305702160593
2.605196809768677,0.023055267933600902,0.005797290802001953,0.001610944672214535,-0.001,1,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 1}",0.7991726966473676,0.7688483276309688,0.7793905969667736,0.7696234351474568,0.7798014553617064,0.779367691766491,0.01093702205106096,78,0.8879881764828038,0.8589464020055736,0.8999802682523931,0.8770301046417783,0.8719090826911788,0.8791708068147456,0.01397942406620193
5.432436180114746,0.0517992613017431,0.006994009017944336,0.0015451572350113562,-0.001,2,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 2}",0.7991726966473676,0.7688483276309688,0.7793905969667736,0.7696234351474568,0.7798014553617064,0.779367691766491,0.01093702205106096,78,0.8879881764828038,0.8589464020055736,0.8999802682523931,0.8770301046417783,0.8719090826911788,0.8791708068147456,0.01397942406620193
