param_SVM__n_iter,train acc,test acc
1,0.7625434073371269,0.74790484651458
4,0.7931078593643393,0.7913316954798637
7,0.7709412351837699,0.75339098495
10,0.7562236534561348,0.7600640970963012
13,0.7780253913594976,0.7732679005942407
16,0.6624195046742621,0.6495905595621018
19,0.7302904948775202,0.7148011692205533
22,0.5918496531872044,0.5909029885380065
25,0.7692855513952253,0.7635391472889548
28,0.7492690403056589,0.730739085104178
31,0.7642340104123174,0.7412745838526864
34,0.7894993593498041,0.7564185948074795
37,0.7238602501193798,0.7208242589876722
40,0.5898644077729521,0.5861794562775899
43,0.5666091473242967,0.5702929024515294
46,0.8086204194784992,0.7861739073410138
49,0.8037424325620551,0.7816522405780434
52,0.7660850800601375,0.762123165296859
55,0.8253771022366062,0.8056253949604649
58,0.7464017788799583,0.7242116612048622
61,0.6488522904909396,0.6397034781284768
64,0.8061220400692732,0.7959094821695701
67,0.779239227457979,0.7712608823359464
70,0.8237839025447298,0.8079729448068833
73,0.7607738160248136,0.7564394893052272
