mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5315250873565673,0.010878177975277528,0.008397817611694336,0.004319764324735156,0.1,687,"{'SVM__alpha': 0.1, 'SVM__n_iter': 687}",0.6236263736263736,0.6181318681318682,0.6098901098901099,0.6071428571428571,0.6428571428571429,0.6203296703296703,0.012696945064056438,1,0.625,0.6229395604395604,0.6160714285714286,0.6263736263736264,0.6243131868131868,0.6229395604395604,0.0036082213012537502
0.5303206443786621,0.011306339458216092,0.006001424789428711,5.091227651611e-07,0.03162277660168379,687,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 687}",0.6236263736263736,0.6181318681318682,0.6098901098901099,0.6016483516483516,0.6401098901098901,0.6186813186813187,0.013048727568173518,2,0.6256868131868132,0.6256868131868132,0.6188186813186813,0.6277472527472527,0.625,0.6245879120879121,0.0030282153413528196
0.530953311920166,0.011822518906718415,0.006201839447021485,0.000400495770460352,0.01,687,"{'SVM__alpha': 0.01, 'SVM__n_iter': 687}",0.6236263736263736,0.6153846153846154,0.6043956043956044,0.5989010989010989,0.6401098901098901,0.6164835164835165,0.01459926401712793,3,0.6236263736263736,0.6284340659340659,0.6167582417582418,0.6318681318681318,0.6243131868131868,0.625,0.0050842734954180445
0.5299204349517822,0.011857636550907744,0.005802774429321289,0.00039584657869182253,0.0031622776601683794,687,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 687}",0.6291208791208791,0.6071428571428571,0.6071428571428571,0.5989010989010989,0.6346153846153846,0.6153846153846154,0.013900121583157716,4,0.6270604395604396,0.6353021978021978,0.6188186813186813,0.6298076923076923,0.6222527472527473,0.6266483516483516,0.005756133747185958
0.5305243492126465,0.012659959042722959,0.006001806259155274,5.560829062314321e-07,0.001,687,"{'SVM__alpha': 0.001, 'SVM__n_iter': 687}",0.6236263736263736,0.5906593406593407,0.6071428571428571,0.5879120879120879,0.6291208791208791,0.6076923076923076,0.01670185071820951,5,0.6311813186813187,0.6304945054945055,0.6222527472527473,0.6318681318681318,0.6215659340659341,0.6274725274725276,0.004568211304482372
0.5291213989257812,0.01492748468611256,0.005804872512817383,0.00040195668683310734,0.00031622776601683794,687,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 687}",0.6126373626373627,0.5851648351648352,0.5741758241758241,0.5769230769230769,0.6236263736263736,0.5945054945054945,0.019932260601337445,7,0.617445054945055,0.6208791208791209,0.6133241758241759,0.6181318681318682,0.6126373626373627,0.6164835164835165,0.003089896120659877
0.526519775390625,0.011776964384829261,0.005800914764404297,0.0003998047515422302,0.0001,687,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 687}",0.5851648351648352,0.5851648351648352,0.5686813186813187,0.5769230769230769,0.6098901098901099,0.5851648351648352,0.013791099338473804,9,0.6023351648351648,0.5831043956043956,0.5940934065934066,0.6201923076923077,0.6043956043956044,0.6008241758241758,0.012243010964372074
0.5309206008911133,0.011497348544631844,0.005801773071289063,0.0003999950313493807,3.1622776601683795e-05,687,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 687}",0.6181318681318682,0.6016483516483516,0.6153846153846154,0.5824175824175825,0.6098901098901099,0.6054945054945055,0.012838814775327388,6,0.5796703296703297,0.5851648351648352,0.5762362637362637,0.614010989010989,0.5934065934065934,0.5896978021978023,0.013469945793550854
0.5207258224487304,0.014496928343977838,0.0057982921600341795,0.00039964007556507995,1e-05,687,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 687}",0.5824175824175825,0.5741758241758241,0.5824175824175825,0.6016483516483516,0.6043956043956044,0.589010989010989,0.011861007222485096,8,0.5707417582417582,0.5961538461538461,0.5439560439560439,0.5961538461538461,0.592032967032967,0.5798076923076924,0.020255284166117337
0.5227196693420411,0.0034411186468429737,0.006001186370849609,2.7804145311571603e-07,3.162277660168379e-06,687,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 687}",0.5824175824175825,0.5494505494505495,0.5989010989010989,0.554945054945055,0.532967032967033,0.5637362637362637,0.023722014444970217,16,0.5645604395604396,0.5879120879120879,0.5350274725274725,0.5611263736263736,0.5480769230769231,0.5593406593406594,0.017690473251426524
0.5191200733184814,0.006909454331701329,0.006201696395874023,0.0004003653358404781,1e-06,687,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 687}",0.5851648351648352,0.554945054945055,0.5824175824175825,0.5467032967032966,0.5714285714285714,0.5681318681318681,0.015087395843676925,14,0.5837912087912088,0.5796703296703297,0.5302197802197802,0.5556318681318682,0.5659340659340659,0.5630494505494505,0.01922291833465485
0.5129589080810547,0.004764338512967397,0.006966972351074218,0.0015820726302479056,3.162277660168379e-07,687,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 687}",0.5989010989010989,0.554945054945055,0.5906593406593407,0.5851648351648352,0.5604395604395604,0.578021978021978,0.01725309721770063,10,0.5666208791208791,0.5446428571428571,0.5357142857142857,0.573489010989011,0.5618131868131868,0.556456043956044,0.014084862350119328
