mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__alpha,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2360553741455078,0.006097550513339393,0.004200983047485352,0.00040009272878463556,0.1,55,"{'SVM__alpha': 0.1, 'SVM__n_iter': 55}",0.7920571089038461,0.7957253581279613,0.7889167296900301,0.781480516335534,0.7961048524351753,0.7908568639811914,0.0053731155539736685,7,0.7903215457159732,0.7887390819335935,0.7938756047978898,0.7924187984877028,0.7886691727829402,0.7908048407436199,0.0020540916561781843
0.22945003509521483,0.005885764427408305,0.004602766036987305,0.0004916262926748046,0.03162277660168379,55,"{'SVM__alpha': 0.03162277660168379, 'SVM__n_iter': 55}",0.8061709214673628,0.8128196889724638,0.8013535155458507,0.7909575476167915,0.8130678255462875,0.8048737913926146,0.00822178522596163,5,0.8057690296030838,0.8059228214072665,0.8093223894443822,0.8111377710013553,0.8066104425415014,0.8077524907995178,0.002121828759652345
0.23285274505615233,0.006047948916850003,0.00400090217590332,3.371747880871523e-07,0.01,55,"{'SVM__alpha': 0.01, 'SVM__n_iter': 55}",0.8119715708053674,0.8185763930005383,0.8047328309358139,0.7989929140739338,0.8208935562569488,0.8110331160687699,0.00824184821281671,3,0.8115117200460374,0.8107105301458096,0.815299021119074,0.8151892404085884,0.8124014366417462,0.8130223896722513,0.0018915968235268623
0.23345279693603516,0.005239608367115404,0.004404830932617188,0.0004870334155490073,0.0031622776601683794,55,"{'SVM__alpha': 0.0031622776601683794, 'SVM__n_iter': 55}",0.8161830840555363,0.8167329267208009,0.8076441419322988,0.7999826273729429,0.8204041763927896,0.8121892060190631,0.0073988391293116716,2,0.8141045947479431,0.8117886851416899,0.8155917972790557,0.817047860451131,0.8155141143715886,0.8148094103982816,0.0017743134862293491
0.2326511859893799,0.007174284191477163,0.005802965164184571,0.0031288675648744155,0.001,55,"{'SVM__alpha': 0.001, 'SVM__n_iter': 55}",0.819050449742091,0.8172322454369242,0.8074337570503275,0.7976267938553545,0.8227495112787898,0.812818346569135,0.009128939415850768,1,0.8147413808393134,0.8136436142006853,0.8152422839126847,0.81471968901077,0.8143533200908917,0.814540057610869,0.000529981499702103
0.22805147171020507,0.00802685720909059,0.004001188278198242,6.468133910298603e-07,0.00031622776601683794,55,"{'SVM__alpha': 0.00031622776601683794, 'SVM__n_iter': 55}",0.8210823282488346,0.8131998027460818,0.8088531642465169,0.7915708539962307,0.8165684394117431,0.8102551834819158,0.010166600494664328,4,0.8124491878295543,0.8151136071862325,0.8152849129113088,0.8070641660579463,0.8102065207050652,0.8120236789380213,0.003106869597380033
0.2140486240386963,0.006604652502528277,0.004201316833496093,0.0003996372649613014,0.0001,55,"{'SVM__alpha': 0.0001, 'SVM__n_iter': 55}",0.8149048544568174,0.8138468776988868,0.7963850640680514,0.7813391663244788,0.8032513792213131,0.8019462578625218,0.0123841789951794,6,0.803509552827892,0.8104401625910482,0.8098958407884723,0.7858341962298913,0.8025354624137165,0.8024430429702042,0.008905031074885241
0.21324467658996582,0.007934976212614435,0.004400968551635742,0.0004902712728122015,3.1622776601683795e-05,55,"{'SVM__alpha': 3.1622776601683795e-05, 'SVM__n_iter': 55}",0.8061236868378269,0.8010898436862693,0.7903081118831802,0.7472888172926078,0.7775049925967299,0.784465332055887,0.02102428513355238,8,0.7950298042675791,0.7990115189115303,0.802580994192486,0.7552985078641531,0.7784171278954847,0.7860675906262466,0.017468972975903753
0.21524429321289062,0.006110989092981881,0.004401445388793945,0.0004899792882992587,1e-05,55,"{'SVM__alpha': 1e-05, 'SVM__n_iter': 55}",0.8009574814653418,0.7989321815978093,0.7948179006351807,0.7369244659233288,0.7745374932158647,0.7812364362567534,0.02406188836346674,9,0.789743989418137,0.7958603046892458,0.7982202417753591,0.7369778516151777,0.7800483124110914,0.7801701399818022,0.022491041117016858
0.20804691314697266,0.006230503474922316,0.0050014019012451175,3.234066955149302e-07,3.162277660168379e-06,55,"{'SVM__alpha': 3.162277660168379e-06, 'SVM__n_iter': 55}",0.7913600362930368,0.7877741516318446,0.7689368761147504,0.7198303273424094,0.7391394554776296,0.7614119476831757,0.02783338398502931,17,0.7849593820173939,0.7823573842820121,0.7796949721572258,0.7227276580670177,0.7483302618737554,0.763613931679481,0.024375492040499068
0.20784692764282225,0.002561846022764239,0.004601240158081055,0.0004898820606964878,1e-06,55,"{'SVM__alpha': 1e-06, 'SVM__n_iter': 55}",0.7879999305295698,0.784715610689815,0.7784837973379141,0.7185281699779948,0.7604627175533906,0.7660406189510892,0.025590104617574574,16,0.78071189012768,0.7828841921636944,0.7872312641437869,0.723864072310537,0.7724086693912094,0.7694200176273815,0.023282212420868514
0.21064791679382325,0.0037207785517574554,0.004601287841796875,0.000490115546189654,3.162277660168379e-07,55,"{'SVM__alpha': 3.162277660168379e-07, 'SVM__n_iter': 55}",0.7910211048008803,0.7905124444170772,0.7812506414173231,0.7332999041873296,0.7562950189955792,0.7704786982254714,0.022462218334366943,13,0.7847262305162361,0.7837227215129291,0.7870073261660677,0.7284877589004309,0.7667231549432766,0.7701334384077881,0.022037871675136423
