mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.44530138969421384,0.012451165445768166,0.007602071762084961,0.0017436248691514258,1,{'MLP__max_iter': 1},0.5521978021978022,0.6703296703296703,0.5686813186813187,0.5247252747252747,0.5741758241758241,0.578021978021978,0.04925480182640651,22,0.5961538461538461,0.6119505494505495,0.5906593406593407,0.5837912087912088,0.6037087912087912,0.5972527472527472,0.00983462764816964
0.4451013088226318,0.005442008129056674,0.007601308822631836,0.0004903104923702536,2,{'MLP__max_iter': 2},0.6263736263736264,0.6868131868131868,0.6016483516483516,0.5604395604395604,0.6401098901098901,0.6230769230769231,0.04182325765711003,21,0.6758241758241759,0.6559065934065934,0.6462912087912088,0.6366758241758241,0.6641483516483516,0.6557692307692308,0.013614848014685583
0.4725069046020508,0.004030625682594104,0.006801414489746094,0.0003999710083007813,4,{'MLP__max_iter': 4},0.6593406593406593,0.6813186813186813,0.6401098901098901,0.5906593406593407,0.6868131868131868,0.6516483516483517,0.03472423144906585,20,0.7348901098901099,0.6923076923076923,0.7122252747252747,0.6758241758241759,0.7026098901098901,0.7035714285714285,0.019765905993136303
0.5257187843322754,0.008869825720473762,0.006401491165161133,0.0004899208705145337,8,{'MLP__max_iter': 8},0.739010989010989,0.7005494505494505,0.6758241758241759,0.6291208791208791,0.7527472527472527,0.6994505494505494,0.044522449626116255,19,0.7815934065934066,0.7664835164835165,0.7884615384615384,0.7568681318681318,0.7747252747252747,0.7736263736263737,0.011105155456817431
0.6333431243896485,0.011636650806816404,0.006403541564941407,0.0004886470435931334,16,{'MLP__max_iter': 16},0.771978021978022,0.7664835164835165,0.7362637362637363,0.7197802197802198,0.782967032967033,0.7554945054945055,0.023632761722644578,18,0.8537087912087912,0.845467032967033,0.8653846153846154,0.8358516483516484,0.867445054945055,0.8535714285714286,0.011930797115718941
0.8257866859436035,0.012095416777939653,0.006601476669311523,0.000490096065864152,32,{'MLP__max_iter': 32},0.8021978021978022,0.804945054945055,0.7802197802197802,0.7554945054945055,0.7857142857142857,0.7857142857142857,0.017804232687933703,1,0.9354395604395604,0.9457417582417582,0.9512362637362637,0.9361263736263736,0.9560439560439561,0.9449175824175823,0.008142719964438975
1.24308123588562,0.023332301156057365,0.007001447677612305,1.784161275279017e-07,64,{'MLP__max_iter': 64},0.7857142857142857,0.7994505494505495,0.7637362637362637,0.7664835164835165,0.7802197802197802,0.7791208791208791,0.013071843135571795,17,0.9938186813186813,0.9993131868131868,0.9993131868131868,0.9986263736263736,0.9993131868131868,0.998076923076923,0.002145672987886436
2.0291603088378904,0.02257508254785942,0.0064013957977294925,0.0004898040929593269,128,{'MLP__max_iter': 128},0.782967032967033,0.7994505494505495,0.7664835164835165,0.7664835164835165,0.7939560439560439,0.7818681318681319,0.013637004006583337,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.1058767795562745,0.06825810859228841,0.0066013336181640625,0.0004899794275134962,256,{'MLP__max_iter': 256},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.122680187225342,0.05063338813518077,0.006801605224609375,0.0007483282192290589,512,{'MLP__max_iter': 512},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.099874973297119,0.0806818632914087,0.0068015575408935545,0.000748442932127633,1024,{'MLP__max_iter': 1024},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.1216798782348634,0.0528530525057232,0.0068012714385986325,0.0004001379403725326,2048,{'MLP__max_iter': 2048},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.073269081115723,0.07314468685639772,0.006201362609863282,0.0003996610748151288,2100,{'MLP__max_iter': 2100},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.08827657699585,0.08093823633036293,0.006401586532592774,0.0004902323701441018,2200,{'MLP__max_iter': 2200},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.109877014160156,0.0914901871315,0.006801748275756836,0.0007485576244095103,2300,{'MLP__max_iter': 2300},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.0768696784973146,0.07110679081690299,0.006401872634887696,0.0004897068537881269,2400,{'MLP__max_iter': 2400},0.782967032967033,0.7994505494505495,0.771978021978022,0.7664835164835165,0.7939560439560439,0.782967032967033,0.012529400275814688,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
