param_MLP__max_iter,train acc,test acc
1,0.6164835164835165,0.5923076923076923
2,0.6291208791208791,0.6384615384615384
4,0.6813186813186813,0.658974358974359
8,0.7510989010989011,0.7153846153846154
16,0.8038461538461539,0.7628205128205128
32,0.8642857142857143,0.7974358974358975
64,0.9313186813186813,0.8217948717948718
128,0.9730769230769231,0.8358974358974359
256,0.9917582417582418,0.8448717948717949
512,0.9917582417582418,0.8448717948717949
1024,0.9917582417582418,0.8448717948717949
2048,0.9917582417582418,0.8448717948717949
2100,0.9917582417582418,0.8448717948717949
2200,0.9917582417582418,0.8448717948717949
2300,0.9917582417582418,0.8448717948717949
2400,0.9917582417582418,0.8448717948717949
2500,0.9917582417582418,0.8448717948717949
2600,0.9917582417582418,0.8448717948717949
2700,0.9917582417582418,0.8448717948717949
2800,0.9917582417582418,0.8448717948717949
2900,0.9917582417582418,0.8448717948717949
3000,0.9917582417582418,0.8448717948717949
