mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.494517183303833,0.013900841311524968,0.007201337814331054,0.0029280685172516268,1,{'Boost__n_estimators': 1},0.728021978021978,0.7857142857142857,0.7939560439560439,0.7472527472527473,0.8021978021978022,0.7714285714285715,0.028729486730552475,12,0.9120879120879121,0.9251373626373627,0.9244505494505495,0.9168956043956044,0.904532967032967,0.916620879120879,0.007753387797620945
0.5503284454345703,0.019228372208507913,0.0061981201171875,0.0003928185377516793,2,{'Boost__n_estimators': 2},0.728021978021978,0.7857142857142857,0.7939560439560439,0.7472527472527473,0.8021978021978022,0.7714285714285715,0.028729486730552475,12,0.9120879120879121,0.9251373626373627,0.9244505494505495,0.9168956043956044,0.904532967032967,0.916620879120879,0.007753387797620945
0.7669872283935547,0.032308080736198126,0.006187915802001953,0.0003991954414623317,5,{'Boost__n_estimators': 5},0.7582417582417582,0.8159340659340659,0.8406593406593407,0.771978021978022,0.804945054945055,0.7983516483516484,0.029822564274971236,1,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9629120879120879,0.968543956043956,0.0034587028329709137
0.9498291969299316,0.13782179912186096,0.006386947631835937,0.0004943341036802802,10,{'Boost__n_estimators': 10},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7967032967032966,0.7978021978021979,0.030024343060031326,2,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9745879120879121,0.9708791208791208,0.002733481970073122
0.9914404392242432,0.21610269344869468,0.006789779663085938,0.0003946975212631288,20,{'Boost__n_estimators': 20},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9786361694335938,0.2142495126655185,0.006586885452270508,0.00048571009777711153,30,{'Boost__n_estimators': 30},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9862385272979737,0.21436211931783022,0.0071871280670166016,0.0009870648037844378,40,{'Boost__n_estimators': 40},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9934338092803955,0.20636976400667614,0.006593656539916992,0.0004914672572638633,50,{'Boost__n_estimators': 50},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9824401378631592,0.20431688675710138,0.006983661651611328,0.0006323343398080906,60,{'Boost__n_estimators': 60},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9956337928771972,0.20102526723789796,0.00819382667541504,0.0024788344726178304,70,{'Boost__n_estimators': 70},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9942358493804931,0.19401435365044203,0.006590843200683594,0.0004888866999674524,80,{'Boost__n_estimators': 80},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
0.9872277259826661,0.19754152310576117,0.006598043441772461,0.0008036419066127131,90,{'Boost__n_estimators': 90},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
1.0074315547943116,0.19860166922925254,0.006797933578491211,0.0004071713191924821,100,{'Boost__n_estimators': 100},0.7582417582417582,0.8159340659340659,0.8434065934065934,0.7747252747252747,0.7939560439560439,0.7972527472527473,0.030064536308361436,3,0.9663461538461539,0.9697802197802198,0.9718406593406593,0.9718406593406593,0.9752747252747253,0.9710164835164834,0.002926823592398687
