mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.424900484085083,0.005981114201814531,0.006003093719482422,3.1572237696164796e-06,1,{'SVM__n_iter': 1},0.6126373626373627,0.6071428571428571,0.5769230769230769,0.5302197802197802,0.5796703296703297,0.5813186813186814,0.02926049880372384,12,0.6126373626373627,0.6002747252747253,0.6016483516483516,0.6119505494505495,0.5934065934065934,0.6039835164835166,0.007340873195542545
0.4206999778747559,0.0033867544226055192,0.006801176071166992,0.0021349707331290834,2,{'SVM__n_iter': 2},0.5824175824175825,0.6098901098901099,0.6071428571428571,0.5906593406593407,0.6263736263736264,0.6032967032967033,0.015404226119644149,11,0.6263736263736264,0.6270604395604396,0.6153846153846154,0.6373626373626373,0.625,0.6262362637362637,0.00698256320172461
0.42529683113098143,0.005345308572969715,0.0058079719543457035,0.00040328463118260614,4,{'SVM__n_iter': 4},0.6236263736263736,0.6126373626373627,0.6043956043956044,0.5851648351648352,0.6291208791208791,0.610989010989011,0.015501907669962501,10,0.6243131868131868,0.6181318681318682,0.6133241758241759,0.6304945054945055,0.614010989010989,0.6200549450549451,0.006521471137620426
0.4198953628540039,0.0039712038092972555,0.006006956100463867,7.28796889287674e-06,8,{'SVM__n_iter': 8},0.6291208791208791,0.6153846153846154,0.6098901098901099,0.5989010989010989,0.6346153846153846,0.6175824175824176,0.01293252999553825,9,0.6256868131868132,0.6201923076923077,0.6201923076923077,0.6284340659340659,0.6277472527472527,0.6244505494505495,0.003592499129291751
0.43089861869812013,0.00849703336478541,0.005803203582763672,0.0007466412637545833,16,{'SVM__n_iter': 16},0.6263736263736264,0.6208791208791209,0.6071428571428571,0.6098901098901099,0.6428571428571429,0.6214285714285714,0.012815278889769906,1,0.625,0.6229395604395604,0.6167582417582418,0.6256868131868132,0.6263736263736264,0.6233516483516484,0.0034912816008623045
0.43850345611572267,0.015329579289273353,0.005801630020141601,0.0004001619420355638,32,{'SVM__n_iter': 32},0.6263736263736264,0.6153846153846154,0.6016483516483516,0.6098901098901099,0.6428571428571429,0.6192307692307693,0.0142857142857143,7,0.625,0.6208791208791209,0.6160714285714286,0.6256868131868132,0.6256868131868132,0.6226648351648352,0.0037517857922383553
0.4543128490447998,0.009796112032321667,0.005793476104736328,0.0003968215681951434,64,{'SVM__n_iter': 64},0.6236263736263736,0.6181318681318682,0.6043956043956044,0.6071428571428571,0.6428571428571429,0.6192307692307693,0.013747248355161357,7,0.6229395604395604,0.6229395604395604,0.6146978021978022,0.6256868131868132,0.6270604395604396,0.6226648351648352,0.004291345975772872
0.44370508193969727,0.010703431445496235,0.005999565124511719,3.375117944562223e-06,128,{'SVM__n_iter': 128},0.6236263736263736,0.6153846153846154,0.6043956043956044,0.6126373626373627,0.6428571428571429,0.6197802197802198,0.013071843135571798,5,0.6236263736263736,0.6229395604395604,0.6146978021978022,0.625,0.6256868131868132,0.6223901098901099,0.00396690359291033
0.47651033401489257,0.01372304306053493,0.006602001190185547,0.0007998111115894913,256,{'SVM__n_iter': 256},0.6263736263736264,0.6153846153846154,0.6043956043956044,0.6126373626373627,0.6428571428571429,0.6203296703296703,0.013278072498455591,3,0.6243131868131868,0.6236263736263736,0.6153846153846154,0.6256868131868132,0.6256868131868132,0.6229395604395604,0.003860843220482183
0.5069189071655273,0.00738644826243247,0.006003952026367188,8.734844619781794e-06,512,{'SVM__n_iter': 512},0.6263736263736264,0.6181318681318682,0.6071428571428571,0.6071428571428571,0.6428571428571429,0.6203296703296703,0.013391272095553814,3,0.625,0.6243131868131868,0.6160714285714286,0.6263736263736264,0.625,0.6233516483516484,0.0037011520838756682
0.594135332107544,0.00953124024817931,0.00620121955871582,0.0003996133911005814,1024,{'SVM__n_iter': 1024},0.6263736263736264,0.6181318681318682,0.6098901098901099,0.6071428571428571,0.6428571428571429,0.6208791208791209,0.012885757581932515,2,0.625,0.6229395604395604,0.6160714285714286,0.6256868131868132,0.6243131868131868,0.6228021978021978,0.003485872950672933
0.7315666198730468,0.01560600077773551,0.007005071640014649,0.001547216582678329,2048,{'SVM__n_iter': 2048},0.6208791208791209,0.6181318681318682,0.6098901098901099,0.6071428571428571,0.6428571428571429,0.6197802197802198,0.012601477957340365,5,0.625,0.6229395604395604,0.6160714285714286,0.6256868131868132,0.6243131868131868,0.6228021978021978,0.003485872950672933
