mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__n_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.808788537979126,0.0615069616106054,0.020198297500610352,0.006053155986296092,100,{'SVM__n_iter': 100},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0090481758117675,0.009990880967315145,0.015584087371826172,0.001020104638891504,200,{'SVM__n_iter': 200},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.2568902492523193,0.018642710547705905,0.02039937973022461,0.006055340377879306,300,{'SVM__n_iter': 300},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4861422061920166,0.020918981118980773,0.01519780158996582,0.0007550781579153384,400,{'SVM__n_iter': 400},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.7252031326293946,0.0031851496594373337,0.01439061164855957,0.0004840757641147088,500,{'SVM__n_iter': 500},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.999860906600952,0.021994336756479396,0.014995098114013672,0.0010997465340596444,600,{'SVM__n_iter': 600},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.238115167617798,0.04289792205919351,0.01459488868713379,0.000805098367654329,700,{'SVM__n_iter': 700},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.486575412750244,0.013220368881714557,0.01619110107421875,0.002404890796165796,800,{'SVM__n_iter': 800},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.6870208263397215,0.022485013528290396,0.015590906143188477,0.001356367206584614,900,{'SVM__n_iter': 900},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.9646822929382326,0.010620254521793951,0.018193387985229494,0.004713772087633268,1000,{'SVM__n_iter': 1000},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.2245490074157717,0.049031529803297204,0.014784002304077148,0.0007483666178182586,1100,{'SVM__n_iter': 1100},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.4413875579833983,0.016022306457807455,0.01539454460144043,0.0013617443949707918,1200,{'SVM__n_iter': 1200},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.706685447692871,0.045770371331892844,0.01738905906677246,0.0048403752776696556,1300,{'SVM__n_iter': 1300},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.9650863647460937,0.06678712812070962,0.014390039443969726,0.0004915654664691749,1400,{'SVM__n_iter': 1400},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.187759876251221,0.04385175078669038,0.014390707015991211,0.0004989346589824406,1500,{'SVM__n_iter': 1500},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.452216386795044,0.05093960326531225,0.014594125747680663,0.0008006211814472732,1600,{'SVM__n_iter': 1600},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.706684017181397,0.03783637425873208,0.015584421157836915,0.0016273870745558974,1700,{'SVM__n_iter': 1700},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.945936393737793,0.043097964886728894,0.014385652542114259,0.0004859777407918491,1800,{'SVM__n_iter': 1800},0.8104395604395604,0.7912087912087912,0.7802197802197802,0.75,0.7967032967032966,0.7857142857142857,0.020337093981672244,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
