param_SVM__n_iter,train acc,test acc
100,0.5439560439560439,0.5564102564102564
200,0.5774725274725274,0.5743589743589743
300,0.5104395604395604,0.5089743589743589
400,0.5478021978021979,0.5166666666666667
500,0.548901098901099,0.5205128205128206
600,0.5582417582417583,0.5525641025641026
700,0.48736263736263735,0.4653846153846154
800,0.4736263736263736,0.4551282051282051
900,0.545054945054945,0.5012820512820513
1000,0.5362637362637362,0.5192307692307693
1100,0.5148351648351648,0.5012820512820513
1200,0.5247252747252747,0.5294871794871795
1300,0.5076923076923077,0.48205128205128206
1400,0.4928571428571429,0.4423076923076923
1500,0.5917582417582418,0.5641025641025641
1600,0.5510989010989011,0.5397435897435897
1700,0.5582417582417583,0.5807692307692308
1800,0.5379120879120879,0.5358974358974359
1900,0.5010989010989011,0.5333333333333333
2000,0.5582417582417583,0.5384615384615384
2100,0.5681318681318681,0.5666666666666667
2200,0.5901098901098901,0.5794871794871795
2300,0.5439560439560439,0.5820512820512821
2400,0.5494505494505495,0.5756410256410256
2500,0.49725274725274726,0.5076923076923077
