mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.44391512870788574,0.0032467863846490207,0.005586957931518555,0.0004857118298413675,1,{'Boost__n_estimators': 1},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.4665205955505371,0.0036728039420787827,0.005786418914794922,0.00040166473617820356,2,{'Boost__n_estimators': 2},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5325391292572021,0.02495093318617985,0.006186962127685547,0.00039834061210960764,5,{'Boost__n_estimators': 5},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5225298881530762,0.030981476446106312,0.005997896194458008,1.415411408153233e-05,10,{'Boost__n_estimators': 10},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5297310829162598,0.02563850407387929,0.005990219116210937,7.932426548173013e-06,20,{'Boost__n_estimators': 20},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5341304302215576,0.012286496708687991,0.006392526626586914,0.0004887301832467886,30,{'Boost__n_estimators': 30},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5251233577728271,0.02273575675560486,0.007801580429077149,0.0026306796482637495,40,{'Boost__n_estimators': 40},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.525927209854126,0.02398363928467297,0.005993843078613281,8.103426279544068e-06,50,{'Boost__n_estimators': 50},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5237183570861816,0.025417976554144486,0.006202077865600586,0.0004000195588372934,60,{'Boost__n_estimators': 60},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5209300518035889,0.019898178021820506,0.005990266799926758,8.468391655727514e-06,70,{'Boost__n_estimators': 70},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5215331554412842,0.02502293428192313,0.00638737678527832,0.00048689374070610926,80,{'Boost__n_estimators': 80},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5177238941192627,0.02258608335608474,0.005994844436645508,9.410016161761482e-06,90,{'Boost__n_estimators': 90},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
0.5317245960235596,0.011206556928161577,0.0077975749969482425,0.003125409791443974,100,{'Boost__n_estimators': 100},0.7005494505494505,0.7802197802197802,0.771978021978022,0.739010989010989,0.75,0.7483516483516484,0.02810266341218556,1,0.9526098901098901,0.9539835164835165,0.9546703296703297,0.948489010989011,0.9532967032967034,0.9526098901098902,0.0021718939973684264
